FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT
2021-08-02,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,242,DEN,"Denver, CO",PDX,"Portland, OR",800,753.0,-7.0,13.0,806.0,910.0,3.0,940,913.0,-27.0,0.0,,0.0,160.0,140.0,124.0,991.0,,,,,
2021-08-02,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,241,BDL,"Hartford, CT",IAD,"Washington, DC",1945,1950.0,5.0,10.0,2000.0,2103.0,3.0,2108,2106.0,-2.0,0.0,,0.0,83.0,76.0,63.0,326.0,,,,,
2021-08-02,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,239,JAC,"Jackson, WY",IAH,"Houston, TX",700,659.0,-1.0,14.0,713.0,1120.0,6.0,1110,1126.0,16.0,0.0,,0.0,190.0,207.0,187.0,1265.0,0.0,0.0,16.0,0.0,0.0
2021-08-02,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,238,BDL,"Hartford, CT",IAD,"Washington, DC",1500,1448.0,-12.0,22.0,1510.0,1613.0,4.0,1623,1617.0,-6.0,1.0,B,0.0,83.0,89.0,63.0,326.0,,,,,
2021-08-02,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,237,ATL,"Atlanta, GA",ORD,"Chicago, IL",1045,1040.0,-5.0,19.0,1059.0,1132.0,11.0,1158,1143.0,-15.0,0.0,,0.0,133.0,123.0,93.0,606.0,,,,,
2021-08-02,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,235,BWI,"Baltimore, MD",IAH,"Houston, TX",600,555.0,-5.0,13.0,608.0,756.0,5.0,759,801.0,2.0,0.0,,0.0,179.0,186.0,168.0,1235.0,,,,,
2021-08-02,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,233,JAX,"Jacksonville, FL",IAD,"Washington, DC",730,728.0,-2.0,15.0,743.0,915.0,5.0,917,920.0,3.0,0.0,,0.0,107.0,112.0,92.0,630.0,,,,,
2021-08-02,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,231,EWR,"Newark, NJ",RSW,"Fort Myers, FL",1430,1427.0,-3.0,14.0,1441.0,1706.0,4.0,1723,1710.0,-13.0,0.0,,0.0,173.0,163.0,145.0,1068.0,,,,,
2021-08-02,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,230,DEN,"Denver, CO",MSN,"Madison, WI",1759,1752.0,-7.0,25.0,1817.0,2106.0,3.0,2103,2109.0,6.0,1.0,C,0.0,124.0,137.0,109.0,826.0,,,,,
2021-08-02,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,229,DEN,"Denver, CO",EWR,"Newark, NJ",1135,1134.0,-1.0,16.0,1150.0,1658.0,11.0,1726,1709.0,-17.0,0.0,,0.0,231.0,215.0,188.0,1605.0,,,,,
2021-08-02,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,228,CLE,"Cleveland, OH",MCO,"Orlando, FL",830,829.0,-1.0,16.0,845.0,1037.0,9.0,1051,1046.0,-5.0,0.0,,0.0,141.0,137.0,112.0,895.0,,,,,
2021-08-02,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,226,IAD,"Washington, DC",ORD,"Chicago, IL",700,650.0,-10.0,12.0,702.0,736.0,25.0,803,801.0,-2.0,0.0,,0.0,123.0,131.0,94.0,588.0,,,,,
2021-08-02,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,225,ATL,"Atlanta, GA",DEN,"Denver, CO",1720,1726.0,6.0,14.0,1740.0,1821.0,8.0,1830,1829.0,-1.0,0.0,,0.0,190.0,183.0,161.0,1199.0,,,,,
2021-08-02,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,222,EWR,"Newark, NJ",MIA,"Miami, FL",1315,1312.0,-3.0,16.0,1328.0,1602.0,6.0,1612,1608.0,-4.0,1.0,D,0.0,177.0,176.0,154.0,1085.0,,,,,
